Year,Product line,Product type,Product,Order method type,Retailer country,Revenue,Planned revenue,Product cost,Quantity,Unit cost,Unit price,Gross profit,Unit sale price
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,United States,315044.33,437477.15,158371.76,66385,2.55285714,6.59,156672.57,5.19571429
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Canada,13444.68,14313.48,6298.8,2172,2.9,6.59,7145.88,6.19
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Mexico,,,,,,,,
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Brazil,,,,,,,,
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Japan,181120.24,235236.64,89413.06,35696,2.657,6.59,91707.18,5.488
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Korea,,,,,,,,
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,China,69608.15,100200.95,35326.25,15205,2.495,6.59,34281.9,5.04
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Singapore,30940.35,51619.47,16370.97,7833,2.09,6.59,14569.38,3.95
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Australia,,,,,,,,
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Netherlands,74321.18,94421.52,36531.63,14328,2.6975,6.59,37789.55,5.585
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Sweden,18474.15,30821.43,9774.93,4677,2.09,6.59,8699.22,3.95
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Finland,80890.34,117236.1,41021.31,17790,2.495,6.59,39869.03,5.07
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Denmark,31746.7,33325.63,14665.3,5057,2.9,6.59,17081.4,6.28333333
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,France,103244.26,138113.22,51200.76,20958,2.63,6.59,52043.5,5.44333333
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Germany,,,,,,,,
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,United Kingdom,160227.13,220995.65,80307.11,33535,2.576,6.59,79920.02,5.27
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Belgium,,,,,,,,
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Switzerland,,,,,,,,
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Austria,67179.39,85399.81,32490.25,12959,2.6975,6.59,34689.14,5.75
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Italy,,,,,,,,
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Spain,,,,,,,,
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,United States,181287.73,222735.41,88348.13,33799,2.72,6.59,92939.6,5.65222222
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Canada,,,,,,,,
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Mexico,133617.26,169942.92,65215.05,25788,2.72,6.59,68402.21,5.72333333
